tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.01 0.01 0.00
3000 0.02 0.01 0.01
4000 0.04 0.02 0.02
5000 0.06 0.03 0.02
6000 0.09 0.05 0.03
7000 0.12 0.07 0.04
8000 0.17 0.08 0.05
9000 0.22 0.11 0.06
10000 0.27 0.13 0.07
11000 0.33 0.16 0.09
12000 0.40 0.19 0.11
13000 0.48 0.22 0.12
14000 0.56 0.26 0.14
15000 0.65 0.30 0.17
16000 0.74 0.34 0.19
17000 0.84 0.38 0.21
18000 0.95 0.43 0.24
19000 1.06 0.51 0.28
20000 1.22 0.56 0.32
21000 1.35 0.59 0.39
22000 1.44 0.64 0.36
23000 1.58 0.70 0.39
24000 1.73 0.76 0.42
25000 1.88 0.82 0.46
26000 2.03 0.89 0.50
27000 2.21 0.96 0.54
28000 2.37 1.03 0.58
29000 2.56 1.11 0.62
30000 2.74 1.18 0.66
31000 2.93 1.26 0.71
32000 3.14 1.35 0.75
33000 3.35 1.43 0.80
34000 3.57 1.52 0.85
35000 3.76 1.61 0.89
36000 4.00 1.70 0.95
37000 4.21 1.80 1.00
38000 4.46 1.90 1.06
39000 4.71 2.00 1.12
40000 4.95 2.10 1.18
41000 5.21 2.21 1.22
42000 5.49 2.32 1.29
43000 5.77 2.43 1.35
44000 6.05 2.55 1.42
45000 6.33 2.66 1.52
46000 7.01 2.96 1.63
47000 7.26 3.07 1.79
48000 7.70 3.23 1.73
49000 7.98 3.43 1.89
50000 8.31 3.46 1.93
50000 8.02 3.32 1.93
