tam bolha selecao insercao
1000 0.00 0.00 0.00
2000 0.01 0.01 0.00
3000 0.01 0.01 0.00
4000 0.02 0.02 0.00
5000 0.03 0.04 0.00
6000 0.05 0.05 0.00
7000 0.06 0.07 0.00
8000 0.08 0.09 0.00
9000 0.10 0.11 0.00
10000 0.14 0.14 0.00
11000 0.16 0.16 0.00
12000 0.18 0.19 0.00
13000 0.21 0.23 0.00
14000 0.24 0.26 0.00
15000 0.28 0.31 0.00
16000 0.32 0.34 0.00
17000 0.37 0.40 0.00
18000 0.42 0.45 0.00
18000 0.42 0.43 0.00
19000 0.45 0.47 0.00
20000 0.50 0.52 0.00
21000 0.55 0.58 0.00
22000 0.60 0.64 0.00
23000 0.66 0.70 0.00
24000 0.75 0.77 0.00
25000 0.80 0.85 0.00
26000 0.86 0.97 0.00
27000 0.95 0.96 0.00
28000 0.98 1.03 0.00
29000 1.05 1.10 0.00
30000 1.12 1.20 0.00
31000 1.26 1.33 0.00
32000 1.33 1.46 0.00
33000 1.48 1.53 0.00
34000 1.57 1.60 0.00
35000 1.70 1.66 0.00
36000 1.63 1.70 0.00
37000 1.82 1.87 0.00
38000 1.91 2.01 0.00
39000 2.02 2.03 0.00
40000 2.04 2.15 0.00
41000 2.24 2.44 0.00
42000 2.50 2.64 0.00
43000 2.71 2.88 0.00
44000 2.64 2.82 0.00
45000 3.06 3.07 0.00
46000 2.83 3.11 0.00
47000 2.80 2.96 0.00
48000 2.99 3.11 0.00
49000 3.05 3.17 0.00
50000 3.15 3.33 0.00
50000 3.20 3.29 0.00
